385,6.3275,0.6955,-0.65,17.6
386,6.2698,0.6454,-0.32,19.28
387,6.2121,0.5953,0.01,20.96
388,6.1544,0.5452,0.34,22.64
389,6.0967,0.4951,0.67,24.32
390,6.039,0.445,1,26
391,5.9964,0.4301,1.11,26.7
392,5.9538,0.4152,1.22,27.4
393,5.9112,0.4003,1.33,28.1
394,5.8686,0.3854,1.44,28.8
395,5.826,0.3705,1.55,29.5
396,5.7834,0.3556,1.66,30.2
397,5.7408,0.3407,1.77,30.9
398,5.6982,0.3258,1.88,31.6
399,5.6556,0.3109,1.99,32.3
400,5.613,0.296,2.1,33
401,5.5847,0.2891,2.1,32.8
402,5.5564,0.2822,2.1,32.6
403,5.5281,0.2753,2.1,32.4
404,5.4998,0.2684,2.1,32.2
405,5.4715,0.2615,2.1,32
406,5.4432,0.2546,2.1,31.8
407,5.4149,0.2477,2.1,31.6
408,5.3866,0.2408,2.1,31.4
409,5.3583,0.2339,2.1,31.2
410,5.33,0.227,2.1,31
411,5.3089,0.2219,2.08,30.8
412,5.2878,0.2168,2.06,30.6
413,5.2667,0.2117,2.04,30.4
414,5.2456,0.2066,2.02,30.2
415,5.2245,0.2015,2,30
416,5.2034,0.1964,1.98,29.8
417,5.1823,0.1913,1.96,29.6
418,5.1612,0.1862,1.94,29.4
419,5.1401,0.1811,1.92,29.2
420,5.119,0.176,1.9,29
421,5.102,0.1722,1.89,29
422,5.085,0.1684,1.88,29
423,5.068,0.1646,1.87,29
424,5.051,0.1608,1.86,29
425,5.034,0.157,1.85,29
426,5.017,0.1532,1.84,29
427,5,0.1494,1.83,29
428,4.983,0.1456,1.82,29
429,4.966,0.1418,1.81,29
430,4.949,0.138,1.8,29
431,4.9353,0.1349,1.79,28.9
432,4.9216,0.1318,1.78,28.8
433,4.9079,0.1287,1.77,28.7
434,4.8942,0.1256,1.76,28.6
435,4.8805,0.1225,1.75,28.5
436,4.8668,0.1194,1.74,28.4
437,4.8531,0.1163,1.73,28.3
438,4.8394,0.1132,1.72,28.2
439,4.8257,0.1101,1.71,28.1
440,4.812,0.107,1.7,28
441,4.7999,0.10493,1.69,28
442,4.7878,0.10286,1.68,28
443,4.7757,0.10079,1.67,28
444,4.7636,0.098721,1.66,28
445,4.7515,0.096651,1.65,28
446,4.7394,0.094581,1.64,28
447,4.7273,0.092511,1.63,28
448,4.7152,0.090442,1.62,28
449,4.7031,0.088372,1.61,28
450,4.691,0.086302,1.6,28
451,4.6806,0.08481,1.6,28.1
452,4.6702,0.083318,1.6,28.2
453,4.6598,0.081826,1.6,28.3
454,4.6494,0.080334,1.6,28.4
455,4.639,0.078841,1.6,28.5
456,4.6286,0.077349,1.6,28.6
457,4.6182,0.075857,1.6,28.7
458,4.6078,0.074365,1.6,28.8
459,4.5974,0.072873,1.6,28.9
460,4.587,0.071381,1.6,29
461,4.578,0.070452,1.59,29
462,4.569,0.069522,1.58,29
463,4.56,0.068593,1.57,29
464,4.551,0.067663,1.56,29
465,4.542,0.066734,1.55,29
466,4.533,0.065804,1.54,29
467,4.524,0.064875,1.53,29
468,4.515,0.063945,1.52,29
469,4.506,0.063016,1.51,29
470,4.497,0.062086,1.5,29
471,4.4892,0.061378,1.49,29.1
472,4.4814,0.06067,1.48,29.2
473,4.4736,0.059961,1.47,29.3
474,4.4658,0.059253,1.46,29.4
475,4.458,0.058545,1.45,29.5
476,4.4502,0.057837,1.44,29.6
477,4.4424,0.057129,1.43,29.7
478,4.4346,0.05642,1.42,29.8
479,4.4268,0.055712,1.41,29.9
480,4.419,0.055004,1.4,30
481,4.4121,0.054417,1.4,30
482,4.4052,0.053829,1.4,30
483,4.3983,0.053242,1.4,30
484,4.3914,0.052655,1.4,30
485,4.3845,0.052068,1.4,30
486,4.3776,0.05148,1.4,30
487,4.3707,0.050893,1.4,30
488,4.3638,0.050306,1.4,30
489,4.3569,0.049718,1.4,30
490,4.35,0.049131,1.4,30
491,4.3444,0.048634,1.39,30.1
492,4.3388,0.048138,1.38,30.2
493,4.3332,0.047641,1.37,30.3
494,4.3276,0.047145,1.36,30.4
495,4.322,0.046648,1.35,30.5
496,4.3164,0.046151,1.34,30.6
497,4.3108,0.045655,1.33,30.7
498,4.3052,0.045158,1.32,30.8
499,4.2996,0.044662,1.31,30.9
500,4.294,0.044165,1.3,31
501,4.2887,0.043685,1.3,31
502,4.2834,0.043205,1.3,31
503,4.2781,0.042726,1.3,31
504,4.2728,0.042246,1.3,31
505,4.2675,0.041766,1.3,31
506,4.2622,0.041286,1.3,31
507,4.2569,0.040806,1.3,31
508,4.2516,0.040327,1.3,31
509,4.2463,0.039847,1.3,31
510,4.241,0.039367,1.3,31
511,4.2362,0.039072,1.29,31.1
512,4.2314,0.038777,1.28,31.2
513,4.2266,0.038481,1.27,31.3
514,4.2218,0.038186,1.26,31.4
515,4.217,0.037891,1.25,31.5
516,4.2122,0.037596,1.24,31.6
517,4.2074,0.037301,1.23,31.7
518,4.2026,0.037005,1.22,31.8
519,4.1978,0.03671,1.21,31.9
520,4.193,0.036415,1.2,32
521,4.1888,0.036084,1.2,32.1
522,4.1846,0.035754,1.2,32.2
523,4.1804,0.035423,1.2,32.3
524,4.1762,0.035092,1.2,32.4
525,4.172,0.034762,1.2,32.5
526,4.1678,0.034431,1.2,32.6
527,4.1636,0.0341,1.2,32.7
528,4.1594,0.033769,1.2,32.8
529,4.1552,0.033439,1.2,32.9
